ServiceNumber	Direction	StopNumber	stoporder
7	1	84009	1
7	1	84029	2
7	1	84019	3
7	1	83099	4
7	1	83079	5
7	1	83059	6
7	1	83049	7
7	1	83029	8
7	1	82069	9
7	1	82049	10
7	1	82029	11
7	1	82109	12
7	1	81131	13
7	1	81141	14
7	1	81151	15
7	1	81161	16
7	1	80259	17
7	1	80111	18
7	1	80049	19
7	1	80039	20
7	1	80029	21
7	1	01339	22
7	1	01329	23
7	1	01229	24
7	1	01139	25
7	1	01039	26
7	1	01029	27
7	1	04111	28
7	1	04121	29
7	1	08041	30
7	1	08031	31
7	1	08111	32
7	1	08121	33
7	1	09059	34
7	1	09022	35
7	1	09111	36
7	1	09121	37
7	1	09131	38
7	1	09141	39
7	1	13011	40
7	1	13021	41
7	1	11201	42
7	1	11211	43
7	1	11221	44
7	1	11231	45
7	1	11261	46
7	1	11271	47
7	1	11281	48
7	1	11291	49
7	1	12021	50
7	1	12031	51
7	1	12041	52
7	1	12051	53
7	1	12111	54
7	1	17229	55
7	1	17009	56
7	2	17009	1
7	2	17221	2
7	2	12119	3
7	2	12059	4
7	2	12049	5
7	2	12039	6
7	2	12029	7
7	2	11299	8
7	2	11289	9
7	2	11279	10
7	2	11269	11
7	2	11239	12
7	2	11229	13
7	2	11219	14
7	2	11209	15
7	2	13029	16
7	2	13019	17
7	2	09149	18
7	2	09159	19
7	2	09169	20
7	2	09179	21
7	2	09048	22
7	2	09038	23
7	2	08138	24
7	2	08057	25
7	2	08069	26
7	2	04179	27
7	2	01012	28
7	2	01112	29
7	2	01121	30
7	2	01211	31
7	2	01311	32
7	2	80011	33
7	2	80031	34
7	2	80051	35
7	2	80119	36
7	2	80251	37
7	2	81169	38
7	2	81159	39
7	2	81149	40
7	2	81139	41
7	2	81129	42
7	2	82011	43
7	2	82033	44
7	2	82061	45
7	2	83011	46
7	2	83031	47
7	2	83062	48
7	2	83081	49
7	2	84011	50
7	2	84021	51
7	2	84009	52
9	1	84009	1
9	1	84031	2
9	1	84041	3
9	1	84051	4
9	1	84061	5
9	1	85091	6
9	1	85051	7
9	1	85061	8
9	1	85081	9
9	1	85071	10
9	1	96101	11
9	1	96259	12
9	1	96169	13
9	1	96269	14
9	1	96181	15
9	1	96121	16
9	1	76101	17
9	1	76231	18
9	1	76241	19
9	1	98011	20
9	1	98021	21
9	1	98031	22
9	1	98041	23
9	1	98231	24
9	1	98051	25
9	1	98061	26
9	1	98071	27
9	1	99011	28
9	1	99021	29
9	1	99031	30
9	1	99041	31
9	1	99181	32
