stopnumber	locationdesc	address
01012	Hotel Grand Pacific	Victoria St
01013	St. Joseph's Ch	Victoria St
01029	Cosmic Insurance Bldg	Nth Bridge Rd
01039	Nth Bridge Commercial Cplx	Nth Bridge Rd
01112	Opp Bugis Junction	Victoria St
01121	Stamford Pr Sch	Victoria St
01139	Parkview Sq	Nth Bridge Rd
01211	Opp Blk 461	Victoria St
01219	Blk 461	Victoria St
01229	Bef Sultan Mque	Nth Bridge Rd
01231	Opp Textile Ctr	Jln Sultan
01239	Sultan Plaza	Jln Sultan
01311	Lavender Stn	Kallang Rd
01319	Lavender Stn	Kallang Rd
01329	Blk 8	Nth Bridge Rd
01339	Bef Crawford Bridge	Crawford St
01511	Opp The Gateway	Beach Rd
01519	The Gateway	Beach Rd
01521	Opp Plaza Parkroyal	Beach Rd
01529	Plaza Parkroyal	Beach Rd
01611	Raffles Hotel	Beach Rd
01619	Opp Raffles Hotel	Beach Rd
01621	Opp Shaw Twrs	Beach Rd
01629	Shaw Twrs	Beach Rd
01631	Aft Beach Rd	Middle Rd
01639	Bef Beach Rd	Middle Rd
02029	Opp S'pore Cricket Club	Connaught Dr
02049	Raffles Hotel	Bras Basah Rd
02051	Seating Gallery	Raffles Ave
02061	The Esplanade	Raffles Ave
02089	Pan Pacific Hotel	Raffles Blvd
02099	Marina Ctr Ter	Raffles Blvd
02101	Bef Temasek Ave	Raffles Ave
02111	Esplanade Bridge	Esplanade Dr
03011	Fullerton Sq	Fullerton Rd
03019	OUE Bayfront	Collyer Quay
03021	Prudential Twr	Cecil St
03031	Opp AIA Twr	Robinson Rd
03041	Opp PWC Bldg	Cross St
03059	One Raffles Quay	Raffles Quay
03111	Aft Capital Twr	Robinson Rd
03129	UIC Bldg	Shenton Way
03151	Opp GB Bldg	Cecil St
03211	Bef Shenton Way	Palmer Rd
03217	Opp AXA Twr	Shenton Way
03218	Opp MAS Bldg	Shenton Way
03219	Aft Shenton Way	Palmer Rd
03222	Hub Synergy Pt	Anson Rd
03223	Intl Plaza	Anson Rd
03239	Shenton Way Ter	Palmer Rd
04111	Capitol Bldg	Stamford Rd
04121	SMU	Stamford Rd
04142	Armenian Ch	Hill St
04143	Stamford Ct	Hill St
04151	Cath Of The Good Shepherd	Victoria St
04167	St. Andrew's Cath	Nth Bridge Rd
04168	Opp Peninsula Plaza	Nth Bridge Rd
04179	NTUC Income Ctr	Bras Basah Rd
04189	Manulife Ctr	Bras Basah Rd
04222	Clarke Quay Stn	Eu Tong Sen St
04223	Old Hill St Police Stn	Hill St
