PlateNumber	BusModel	Capacity	DateAcquired
SHR5465B	BMW	46	2005-04-24
SZK4221V	Volvo	72	2005-05-04
SHL8516O	BMW	46	2005-06-23
SHM4949R	BMW	72	2005-11-09
SZI3294H	Toyota	46	2005-12-06
SZP1969R	Volvo	46	2006-04-08
SHA9303J	Toyota	46	2006-04-25
SHT2921G	Toyota	72	2006-05-24
SZY7625L	Toyota	46	2006-08-30
SHZ1940F	BMW	46	2006-10-30
SHB9088W	Toyota	46	2007-01-23
SHG2119L	Toyota	72	2007-03-13
SHM5991A	Toyota	46	2007-04-09
SHB4928Z	Volvo	46	2007-06-18
SHI2052G	Toyota	46	2007-07-02
SHV2399U	Toyota	72	2007-07-29
SZW4511Y	Volvo	46	2007-08-20
SHE1541L	Toyota	72	2007-09-23
SHM8125L	BMW	72	2007-09-23
SHU4886Y	Volvo	46	2007-09-30
SZY5893T	BMW	72	2007-10-29
SZY1607S	Toyota	46	2008-04-15
SHZ7036F	Toyota	46	2008-05-06
SHS5259Y	BMW	72	2008-07-26
SZV8375K	Volvo	72	2008-07-30
SHZ8927D	BMW	46	2008-11-23
SHM9811G	Toyota	46	2009-05-12
SHK7237L	Volvo	46	2009-05-12
SHV4205K	Toyota	72	2009-08-17
SHO4779M	BMW	72	2010-03-17
SHY8438T	BMW	46	2010-05-03
SHU6160Q	Volvo	72	2010-05-05
SHM4706J	Volvo	72	2010-07-22
SHM7652R	Toyota	72	2010-08-24
SHA8254Z	Toyota	72	2010-10-05
SHT3660M	Volvo	72	2010-11-23
SHQ8495N	Toyota	72	2010-12-02
SHR5663L	BMW	72	2010-12-28
SHU4545S	Toyota	46	2011-06-15
SHE7395K	Volvo	46	2011-06-27
SHY1240J	Volvo	46	2011-11-29
SHB1234L	Mercedes	46	2008-06-10
SHD1245M	Mercedes	72	2008-07-30
SHF1234M	Mercedes	72	2008-08-02
SHG1245S	Mercedes	46	2008-11-04
SHK1234K	Mercedes	46	2009-06-12
SHJ1256M	Mercedes	46	2009-07-05
SHL1245S	Mercedes	46	2009-07-07
SHM1267N	Man	72	2009-11-26
SHO1244N	Man	46	2009-12-29
SHA1222G	Man	46	2010-01-28
SHR1224H	Mercedes	46	2010-02-15
SHB1267M	Man	46	2010-10-01
SHD1212K	Mercedes	46	2010-12-25
SHF1223X	Volvo	46	2011-04-13
SHG1234B	Volvo	46	2011-06-18
SHK1245Q	Mercedes	72	2011-10-01
SHJ1256Y	Man	72	2011-11-24
SHL1267B	Mercedes	46	2011-12-22
SHM1288H	Mercedes	72	2012-06-11
SHO1256K	Volvo	72	2013-05-30
SHA1245J	Mercedes	72	2014-10-07
SHR1298H	Mercedes	72	2014-10-09
SHB1278H	Man	72	2014-11-25
SHD1234G	Volvo	72	2015-01-14
SHF1277H	Volvo	72	2015-04-04
