StaffID	OffDay
3685	5
3685	2
3703	1
3703	5
5653	1
5653	2
6720	5
6720	2
7144	1
7881	7
13761	7
14850	4
14850	6
15175	2
15175	4
16661	4
17245	1
23181	7
29984	1
32482	1
34371	4
34371	7
34543	4
35433	6
36662	7
36948	4
38320	7
38320	1
44037	5
44241	1
49690	1
49690	6
50013	1
50013	5
50026	5
51106	1
53198	7
55727	7
56925	7
58059	2
58059	1
61692	1
64826	1
65448	7
66173	7
66775	5
69437	4
69755	4
70289	5
72046	5
73185	4
75113	4
81807	7
82726	5
83733	5
84844	5
90672	1
90754	4
93165	1
97183	4
97178	4
37751	1
92144	4
62747	4
53522	1
86881	4
54324	5
49112	7
67011	7
75367	7
39048	7
94821	4
38206	4
66487	5
47110	5
67634	4
52422	4
93711	5
23567	4
21113	7
11764	7
52433	1
59684	5
47880	4
73304	7
51952	1
47123	7
65964	7
72294	2
72294	4
28307	1
54819	7
34970	1
34970	2
18264	5
31925	5
64777	4
47094	5
55258	5
49751	5
46244	7
38273	7
29011	1
41843	4
67754	2
67754	4
10511	5
10511	2
66941	5
72258	1
69691	7
27016	1
83613	7
41798	1
41798	6
70613	4
70613	2
16843	7
16843	2
93304	5
80672	7
10897	4
51677	4
51677	2
19345	2
19345	1
71552	1
84984	7
15777	4
43369	1
15661	4
62047	1
55019	6
55019	4
77704	7
32858	4
98203	1
16475	4
18860	5
27006	1
70209	7
80778	5
42452	4
42452	2
36465	7
72641	1
96635	7
96635	2
31417	1
42498	6
42498	7
31766	1
31766	2
39893	7
39893	6
15891	5
69728	1
89439	1
64041	4
68580	4
68580	2
16074	1
16074	5
80345	1
30648	7
30648	4
46953	5
46953	4
31043	4
36904	1
46872	4
46872	2
61114	5
96309	4
77907	7
34030	1
99085	4
99223	5
29759	4
83433	1
83433	7
41706	5
51277	7
17626	7
58394	4
58394	1
36681	6
36681	4
91030	4
13224	2
13224	1
17557	5
17557	2
61234	1
62234	4
63234	5
64234	6
65234	7
66234	1
67234	4
68234	5
69234	6
79145	7
79245	1
79345	4
79445	5
79545	6
79645	7
79745	1
79845	4
79945	5
82315	6
82325	7
82335	1
82345	4
82355	5
82365	6
82375	7
82385	1
82395	4
91874	5
92874	6
93874	7
94874	1
95874	4
96874	5
97874	6
98874	7
99874	1
63127	4
63227	5
63327	6
63427	7
63527	1
63627	4
63727	5
63827	6
63927	7
89162	1
89262	4
89362	5
89462	6
89562	7
12345	5
22345	6
32345	5
42345	4
52345	7
11789	6
21789	5
31789	1
41789	4
51789	5
21321	4
32432	3
43543	1
54654	1
12321	1
54321	1
12121	1
23232	6
43434	6
54545	6
43431	6
12389	5
12789	5
12387	4
15498	7
10654	7
39576	7
59632	7
10987	6
45678	5
45327	4
34522	4
33333	5
38760	5
20093	6
20087	4
30909	4
34532	1
34679	1
12308	4
55541	5
54378	1
57345	1
55690	6
23476	1
33211	7
11115	7
22225	7
22335	7
22667	6
