StopNumber	epaper	installdate	model
01219	1	2015-10-01	model123
01239	1	2015-09-22	model456
01319	1	2015-06-06	model789
01519	1	2015-10-01	model123
01529	1	2015-09-22	model123
01619	1	2015-10-01	model123
01629	1	2015-10-02	model123
02029	1	2015-10-03	model123
03019	1	2015-09-24	model123
03059	1	2015-10-05	model123
03129	1	2015-10-06	model123
03218	1	2015-10-07	model123
03219	1	2015-10-08	model123
07369	1	2014-12-19	model123
07379	1	2014-10-10	model456
60019	1	2014-11-11	model789
60029	1	2014-11-12	model789
60039	1	2014-11-13	model789
60179	1	2014-11-14	model789
60209	1	2014-11-15	model789
60221	1	2014-11-16	model789
60269	1	2014-11-17	model789
61019	1	2014-11-18	model789
61029	1	2014-11-19	model789
61039	1	2014-11-20	model789
61049	1	2014-11-21	model789
62119	1	2015-12-22	model123
62129	1	2015-09-23	model456
62139	1	2015-12-03	model789
62149	1	2015-04-13	model123
63019	1	2015-08-27	model123
63029	1	2014-12-29	model456
63039	1	2014-12-28	model456
63049	1	2014-12-27	model456
63059	1	2014-12-26	model456
63341	1	2014-12-25	model456
63351	1	2014-12-24	model456
64391	1	2014-12-23	model456
01211	1	2014-12-22	model456
01231	1	2014-12-21	model456
01311	1	2014-12-20	model456
01511	1	2014-12-21	model456
01521	1	2014-12-22	model456
01611	1	2014-12-23	model456
01621	1	2014-12-24	model456
02111	1	2014-12-20	model789
03011	1	2014-11-19	model789
03031	1	2014-12-18	model456
03111	1	2014-11-17	model123
03211	0	\N	\N
03222	0	\N	\N
07371	0	\N	\N
60011	0	\N	\N
60021	0	\N	\N
60031	0	\N	\N
60159	0	\N	\N
60161	0	\N	\N
60201	0	\N	\N
60229	0	\N	\N
60261	0	\N	\N
61011	0	\N	\N
61021	0	\N	\N
61031	1	2015-12-29	model123
61041	1	2015-04-04	model123
62111	1	2015-06-27	model789
62121	1	2015-09-12	model456
62131	1	2015-02-02	model456
62141	1	2015-04-04	model123
63011	1	2015-04-05	model123
63021	1	2015-04-06	model123
63031	1	2015-04-07	model123
63041	1	2015-04-08	model123
63051	1	2015-04-09	model123
63349	1	2015-04-10	model123
63359	1	2015-04-11	model123
64399	1	2015-04-12	model123
04167	1	2015-04-13	model123
04249	1	2015-04-14	model123
05019	1	2015-04-15	model123
05029	1	2015-04-16	model123
05039	1	2015-04-17	model123
05069	1	2015-04-18	model123
05131	1	2015-04-19	model123
05199	1	2015-04-20	model123
08057	1	2015-04-21	model123
08069	1	2015-04-22	model123
08138	1	2015-04-23	model123
09037	1	2015-04-24	model123
09047	1	2015-04-25	model123
09219	1	2015-10-26	model789
10011	1	2015-10-27	model789
10041	1	2015-10-28	model789
10399	1	2015-10-10	model789
14021	1	2014-07-21	model123
14059	1	2014-08-05	model456
14139	1	2014-08-05	model456
14159	1	2014-08-06	model456
14221	1	2014-08-07	model456
14231	1	2014-08-08	model456
14271	1	2014-08-09	model456
14281	1	2014-08-02	model456
14291	1	2014-08-05	model456
14339	1	2014-10-03	model456
14349	1	2015-09-04	model123
14359	1	2014-08-05	model456
14379	1	2014-09-06	model456
14399	1	2015-02-07	model123
14499	1	2015-02-08	model123
40129	1	2015-02-09	model123
