ServiceNumber,StartTime,EndTime,Frequency
7,0530,0640,09-11
9,0530,0617,7-8
21,0530,0647,07-12
35,0600,0613,10-16
38,0515,0546,9-12
39,0530,0637,10-15
56,0530,0552,9-10
60,0530,0530,8-10
63,0530,0639,07-09
63M,0535,0624,08-14
74,0530,0640,05-10
74e,0700,0842,15-15
75,0525,0636,7-9
76,0530,0603,09-11
96,0645,0710,06-07
107,0530,0623,07-10
124,0530,0555,08-10
131,0545,0557,07-14
153,0600,0618,10-14
165,0530,0531,10-14
186,0600,0702,17-17
197,0530,0609,10-11
333,0530,0520,07-09
354,0600,0540,06-08
410W,0545,0607,05-06
804,0520,0523,6-8
805,0520,0557,10-11
855,0535,0646,10-15
