StopNumber	PeriodName	TotalCount
01012	weekdayAMpeak	43
01012	weekdayNonpeak	51
01012	weekdayPMpeak	31
01012	weekendAMpeak	19
01012	weekendNonpeak	13
01012	weekendPMpeak	63
01013	weekdayAMpeak	38
01013	weekdayNonpeak	54
01013	weekdayPMpeak	38
01013	weekendAMpeak	46
01013	weekendNonpeak	35
01013	weekendPMpeak	25
01029	weekdayAMpeak	30
01029	weekdayNonpeak	67
01029	weekdayPMpeak	46
01029	weekendAMpeak	23
01029	weekendNonpeak	57
01029	weekendPMpeak	16
01039	weekdayAMpeak	15
01039	weekdayNonpeak	3
01039	weekdayPMpeak	18
01039	weekendAMpeak	3
01039	weekendNonpeak	25
01039	weekendPMpeak	32
01112	weekdayAMpeak	36
01112	weekdayNonpeak	41
01112	weekdayPMpeak	11
01112	weekendAMpeak	67
01112	weekendNonpeak	54
01112	weekendPMpeak	47
01121	weekdayAMpeak	32
01121	weekdayNonpeak	61
01121	weekdayPMpeak	67
01121	weekendAMpeak	63
01121	weekendNonpeak	22
01121	weekendPMpeak	23
01139	weekdayAMpeak	27
01139	weekdayNonpeak	9
01139	weekdayPMpeak	28
01139	weekendAMpeak	52
01139	weekendNonpeak	13
01139	weekendPMpeak	51
01211	weekdayAMpeak	6
01211	weekdayNonpeak	25
01211	weekdayPMpeak	56
01211	weekendAMpeak	12
01211	weekendNonpeak	10
01211	weekendPMpeak	7
01219	weekdayAMpeak	1
01219	weekdayNonpeak	63
01219	weekdayPMpeak	65
01219	weekendAMpeak	19
01219	weekendNonpeak	42
01219	weekendPMpeak	27
01229	weekdayAMpeak	4
01229	weekdayNonpeak	66
01229	weekdayPMpeak	18
01229	weekendAMpeak	1
01229	weekendNonpeak	67
01229	weekendPMpeak	64
01231	weekdayAMpeak	47
01231	weekdayNonpeak	34
01231	weekdayPMpeak	61
01231	weekendAMpeak	10
01231	weekendNonpeak	28
01231	weekendPMpeak	31
01239	weekdayAMpeak	11
01239	weekdayNonpeak	51
01239	weekdayPMpeak	3
01239	weekendAMpeak	24
01239	weekendNonpeak	40
01239	weekendPMpeak	48
01311	weekdayAMpeak	53
01311	weekdayNonpeak	3
01311	weekdayPMpeak	45
01311	weekendAMpeak	21
01311	weekendNonpeak	37
01311	weekendPMpeak	27
01319	weekdayAMpeak	44
01319	weekdayNonpeak	56
01319	weekdayPMpeak	12
01319	weekendAMpeak	49
01319	weekendNonpeak	46
01319	weekendPMpeak	38
01329	weekdayAMpeak	25
01329	weekdayNonpeak	68
01329	weekdayPMpeak	16
01329	weekendAMpeak	29
01329	weekendNonpeak	4
01329	weekendPMpeak	54
01339	weekdayAMpeak	22
01339	weekdayNonpeak	2
01339	weekdayPMpeak	29
01339	weekendAMpeak	45
01339	weekendNonpeak	38
01339	weekendPMpeak	61
01511	weekdayAMpeak	11
01511	weekdayNonpeak	67
01511	weekdayPMpeak	45
01511	weekendAMpeak	59
