StopNumber	lostfoundnum	starthour	endhour
02089	67889887	0900	1800
02099	67891234	0700	1800
03239	67584933	1000	1700
10009	62354372	0800	1700
11379	62947390	0800	1800
14009	69238724	1000	1800
17009	67394834	0700	1800
28009	67347228	0800	1700
44259	62643823	0900	1700
45009	68623746	1000	1700
52499	69834723	0900	1800
53009	68943948	0900	1800
55509	63472853	0900	1700
59009	68923493	0800	1800
64009	61882364	0700	1700
75009	66837984	0700	1800
77009	69837492	1000	1700
82009	69237423	0900	1700
84009	69384730	0900	1800
