TripID	ServiceNumber	RouteNumber	TripDate	TripTime	BusPlate	DriverNumber	Cancelled
1	7	1	2016-09-20	23:18:00	SBS7387Z	89439	0
2	7	1	2016-09-21	07:02:00	SHI7722P	47094	0
3	7	1	2016-09-21	10:05:00	SHL8623M	64826	0
4	7	1	2016-09-21	10:42:00	SHG8632D	68580	0
5	7	1	2016-09-21	13:59:00	SHO1256K	46953	1
6	7	1	2016-09-21	16:30:00	SBS8831B	42345	0
7	7	1	2016-09-21	20:52:00	SHR1277B	17626	1
8	7	1	2016-09-21	20:36:00	SBS3450R	7144	0
9	7	2	2016-09-21	07:32:00	SHF8637M	77907	0
10	7	2	2016-09-21	07:25:00	SBS1869Q	44241	0
11	7	2	2016-09-21	08:51:00	SHL8516O	23567	0
12	7	2	2016-09-21	11:32:00	SHF4254R	89439	0
13	7	2	2016-09-21	13:49:00	SHU4545S	63827	0
14	7	2	2016-09-21	12:38:00	SBS9673F	31043	0
15	7	2	2016-09-21	15:09:00	SBS6102U	39893	0
16	7	2	2016-09-21	16:25:00	SBS8788U	27016	0
17	7	2	2016-09-21	19:59:00	SHG2119L	12321	0
18	7	2	2016-09-21	00:07:00	SZY7625L	21789	0
19	7	2	2016-09-21	20:33:00	SBS3228F	43369	0
20	7	2	2016-09-21	21:34:00	SHB4276T	97178	0
21	9	1	2016-09-21	08:50:00	SHI7722P	63927	0
22	9	1	2016-09-21	10:28:00	SHI2052G	12308	1
23	9	1	2016-09-21	07:39:00	SBS3671H	17557	0
24	9	1	2016-09-21	10:13:00	SHO1256K	98203	0
25	9	1	2016-09-21	09:21:00	SHM4287J	43543	0
26	9	1	2016-09-21	11:42:00	SBS3436H	69755	0
27	9	1	2016-09-21	13:23:00	SBS8334C	72046	0
28	9	1	2016-09-21	15:26:00	SBS6209C	19345	0
29	9	1	2016-09-21	17:48:00	SHA5577B	36948	0
30	9	1	2016-09-21	19:37:00	SBS2037X	52345	0
31	804	1	2016-09-21	00:04:00	SHA4566Y	66775	0
32	804	1	2016-09-21	00:53:00	SHD8647H	11764	0
33	804	1	2016-09-21	06:46:00	SBS2921G	89162	0
34	804	1	2016-09-21	07:23:00	SHL1267B	61692	0
35	804	1	2016-09-21	08:55:00	SHQ8495N	63727	0
36	804	1	2016-09-21	09:57:00	SBS8684K	68234	0
37	804	1	2016-09-21	09:28:00	SBS2068G	34030	0
38	804	1	2016-09-21	14:01:00	SHF4488N	71552	0
39	804	1	2016-09-21	12:28:00	SBS3853T	47880	0
40	804	1	2016-09-21	11:27:00	SBS3293P	97183	0
41	804	1	2016-09-21	18:11:00	SBS8580E	35433	0
42	804	1	2016-09-21	12:56:00	SHR1298H	43434	0
43	804	1	2016-09-21	18:39:00	SHF1277H	52433	0
44	804	1	2016-09-21	16:09:00	SBS5690Q	86881	0
45	804	1	2016-09-21	17:57:00	SBS5014K	86881	0
46	804	1	2016-09-21	16:05:00	SBS2814J	82375	1
47	804	1	2016-09-21	16:53:00	SHF4588G	63127	0
48	804	1	2016-09-21	17:34:00	SHQ8495N	21321	0
49	804	1	2016-09-21	19:45:00	SHB4928Z	69728	0
50	804	1	2016-09-21	19:55:00	SHF4588G	14850	0
51	804	1	2016-09-21	19:12:00	SBS1152F	10654	0
52	804	1	2016-09-21	21:15:00	SBS8491A	49690	0
53	804	1	2016-09-21	20:38:00	SHG1266B	50026	0
54	804	1	2016-09-21	21:28:00	SBS3853T	55727	0
55	804	1	2016-09-21	02:50:00	SHL1267B	34970	0
56	804	1	2016-09-21	00:49:00	SBS5014K	29759	1
57	805	1	2016-09-21	00:43:00	SBS3063S	63234	1
58	805	1	2016-09-21	06:23:00	SHO4287N	99223	0
59	805	1	2016-09-21	09:11:00	SHS5259Y	61692	0
60	805	1	2016-09-21	08:40:00	SHI2052G	64234	0
61	805	1	2016-09-21	09:30:00	SHK7237L	15891	0
62	805	1	2016-09-21	10:34:00	SBS7666C	86881	0
63	805	1	2016-09-21	19:38:00	SHJ4568Y	93711	0
64	805	1	2016-09-21	12:38:00	SBS3450R	93304	0
65	805	1	2016-09-21	15:30:00	SHE1541L	3685	0
66	805	1	2016-09-21	14:55:00	SHK1245Q	55541	0
67	805	1	2016-09-21	19:16:00	SBS7216F	21113	0
68	805	1	2016-09-21	19:10:00	SBS4283T	34371	0
69	805	1	2016-09-21	19:58:00	SBS5345R	41798	0
70	805	1	2016-09-21	20:47:00	SBS1856D	66234	0
71	805	1	2016-09-21	20:40:00	SBS5014K	90672	0
72	805	1	2016-09-21	21:40:00	SBS3950Q	58059	0
73	805	1	2016-09-21	23:42:00	SBS3063S	82335	0
74	805	1	2016-09-21	00:17:00	SBS9512L	82335	0
75	855	1	2016-09-21	06:31:00	SHD1245M	16475	0
76	855	1	2016-09-21	18:11:00	SBS9492F	67234	0
77	74e	1	2016-09-21	08:38:00	SHA1245J	70613	0
78	333	1	2016-09-20	23:51:00	SBS9216M	10897	0
79	333	1	2016-09-21	08:01:00	SBS3853T	63427	0
80	333	1	2016-09-21	13:41:00	SHB4534A	89462	0
81	333	1	2016-09-21	16:36:00	SBS6648R	79345	0
82	333	1	2016-09-21	22:17:00	SHY1240J	64234	0
83	107	1	2016-09-21	08:17:00	SHK1234K	22225	0
84	107	1	2016-09-21	19:02:00	SHL8516O	32858	0
85	107	2	2016-09-21	09:43:00	SHU5688J	13761	0
86	107	2	2016-09-21	09:52:00	SBS3950Q	10511	0
87	107	2	2016-09-21	10:02:00	SHJ4568Y	79445	0
88	107	2	2016-09-21	11:27:00	SBS1130P	16661	0
89	107	2	2016-09-21	13:37:00	SBS8944K	55258	1
90	107	2	2016-09-21	15:43:00	SHV8788L	38320	1
91	107	2	2016-09-21	18:24:00	SBS6648R	41789	0
92	107	2	2016-09-21	17:30:00	SBS9952E	65234	1
93	107	2	2016-09-21	18:26:00	SHD1212K	90754	0
94	354	1	2016-09-21	00:03:00	SHD4523H	90754	1
95	354	1	2016-09-21	07:53:00	SHR1224H	95874	0
96	354	1	2016-09-21	15:19:00	SHG4243E	69691	1
97	354	1	2016-09-21	14:05:00	SHM7775R	54321	0
98	354	1	2016-09-21	16:10:00	SBS4789A	63527	0
99	354	1	2016-09-21	01:02:00	SHM1267N	34970	0
100	354	1	2016-09-21	19:46:00	SBS7782B	54378	0
101	354	1	2016-09-21	23:42:00	SHD1245M	69234	0
102	354	1	2016-09-21	19:25:00	SBS2011B	63927	0
103	354	1	2016-09-21	02:06:00	SBS7666C	90672	0
104	124	1	2016-09-21	05:42:00	SHB4276T	16074	0
105	21	1	2016-09-20	23:55:00	SHR1298H	31417	0
106	21	1	2016-09-21	06:10:00	SHV8788L	93711	0
107	21	1	2016-09-21	16:10:00	SBS9492F	54819	0
108	21	1	2016-09-21	18:39:00	SBS7746Z	97183	1
109	21	2	2016-09-21	01:07:00	SBS6157E	67634	0
110	21	2	2016-09-21	07:06:00	SHU6160Q	98203	0
111	21	2	2016-09-21	09:25:00	SHB9088W	67754	0
112	21	2	2016-09-21	08:45:00	SBS8831B	32482	0
113	21	2	2016-09-21	09:48:00	SZV8375K	47094	0
114	21	2	2016-09-21	11:54:00	SHG1245S	63727	0
115	131	1	2016-09-21	00:31:00	SBS8886U	72294	0
116	131	1	2016-09-21	09:13:00	SBS5842D	44241	0
117	131	1	2016-09-21	08:21:00	SHM4949R	38760	0
118	131	1	2016-09-21	09:38:00	SHK4567T	75367	0
119	131	1	2016-09-21	11:54:00	SBS3253R	38273	0
120	131	1	2016-09-21	13:20:00	SBS2037X	12389	0
121	131	1	2016-09-21	17:17:00	SHI5477U	73304	0
122	131	1	2016-09-21	17:58:00	SBS7782B	6720	0
123	131	2	2016-09-20	01:39:00	SBS9216M	80345	0
124	131	2	2016-09-21	07:23:00	SZW4511Y	47110	0
125	131	2	2016-09-21	11:08:00	SHJ4221A	31789	1
126	131	2	2016-09-21	11:33:00	SBS2011B	54378	1
127	131	2	2016-09-21	15:30:00	SHD8647H	54654	0
128	131	2	2016-09-21	17:11:00	SBS9412Q	22335	0
129	131	2	2016-09-21	23:14:00	SHG1234B	22345	0
130	35	1	2016-09-21	06:09:00	SBS9394J	31766	0
131	35	1	2016-09-21	10:13:00	SHU4545S	89162	0
132	35	1	2016-09-21	10:05:00	SBS3228F	79545	1
133	35	1	2016-09-21	16:06:00	SHF4254R	99085	0
134	35	1	2016-09-21	20:42:00	SHK7237L	11115	0
135	35	1	2016-09-21	19:40:00	SBS7403T	70289	0
136	38	1	2016-09-21	00:05:00	SBS5749F	44037	0
137	38	1	2016-09-21	07:18:00	SHL4245H	32432	0
138	38	1	2016-09-21	12:14:00	SHO8654G	27006	0
139	38	1	2016-09-21	20:53:00	SHB1234L	16475	0
140	38	1	2016-09-21	22:52:00	SBS7216F	72046	0
141	38	2	2016-09-21	10:38:00	SHM8656F	63927	1
142	38	2	2016-09-21	11:06:00	SHK9923K	47123	0
143	38	2	2016-09-21	10:29:00	SBS8237A	12345	0
144	38	2	2016-09-21	16:02:00	SHU6160Q	93711	0
145	38	2	2016-09-21	16:01:00	SBS7739L	82335	0
146	38	2	2016-09-21	21:47:00	SHB8634B	93874	0
147	38	2	2016-09-21	00:11:00	SBS4789A	75113	0
148	39	1	2016-09-21	07:02:00	SHK1245Q	10987	0
149	39	1	2016-09-21	13:21:00	SBS2011B	58059	0
150	39	1	2016-09-21	14:56:00	SBS8831B	32482	0
151	39	1	2016-09-21	20:19:00	SBS4922G	79945	1
152	39	1	2016-09-21	17:40:00	SHA1222G	68580	0
153	39	1	2016-09-21	18:54:00	SHG1245S	30648	0
154	39	1	2016-09-21	22:57:00	SBS3845F	69728	0
155	39	2	2016-09-20	23:49:00	SBS6367H	64777	0
156	39	2	2016-09-21	09:18:00	SHU4886Y	80345	1
157	39	2	2016-09-21	10:25:00	SHM1243P	16843	0
158	39	2	2016-09-21	13:30:00	SHA1222G	50013	0
159	39	2	2016-09-21	14:53:00	SHA1222G	82355	1
160	39	2	2016-09-21	15:58:00	SBS7290F	93165	0
161	39	2	2016-09-21	20:43:00	SHL1245S	3703	0
162	39	2	2016-09-21	21:26:00	SHJ4568Y	22345	0
163	39	2	2016-09-21	19:50:00	SBS3950Q	47094	0
164	39	2	2016-09-21	20:48:00	SHJ1276G	42345	1
165	39	2	2016-09-21	05:24:00	SBS8658M	77704	0
166	153	1	2016-09-20	23:39:00	SBS1152F	79245	0
167	153	1	2016-09-21	07:30:00	SBS8886U	80345	0
168	153	2	2016-09-21	06:19:00	SHF1223X	49690	0
169	153	2	2016-09-21	08:58:00	SBS5735S	93304	0
170	153	2	2016-09-21	08:33:00	SHO4598H	77907	0
171	153	2	2016-09-21	12:14:00	SBS8491A	82315	0
172	153	2	2016-09-21	14:19:00	SBS9167R	55690	0
173	153	2	2016-09-21	17:05:00	SHF1234M	65964	0
174	153	2	2016-09-21	17:40:00	SHA4288R	38760	0
175	153	2	2016-09-21	23:35:00	SHF1277H	93874	0
176	153	2	2016-09-21	22:06:00	SBS5749F	22667	0
177	153	2	2016-09-21	04:02:00	SBS7403T	41843	0
178	56	2	2016-09-20	23:50:00	SHM7652R	42452	0
179	165	1	2016-09-21	05:18:00	SHF4254R	12308	0
180	165	2	2016-09-21	06:18:00	SHL4245H	51952	0
181	165	2	2016-09-21	09:10:00	SHM1288H	3685	0
182	165	2	2016-09-21	17:53:00	SHZ1940F	30648	0
183	165	2	2016-09-21	22:38:00	SBS9512L	96309	0
184	60	1	2016-09-21	05:48:00	SHI2052G	70613	0
185	60	1	2016-09-21	08:46:00	SZI3294H	53522	0
186	60	1	2016-09-21	11:20:00	SBS7822Q	32482	0
187	60	1	2016-09-21	15:32:00	SBS5983C	10987	1
188	60	1	2016-09-21	20:05:00	SBS2921G	53522	0
189	60	1	2016-09-21	21:58:00	SBS2011B	15891	0
190	60	1	2016-09-21	01:48:00	SHO4598H	12789	1
191	60	1	2016-09-21	23:46:00	SZY5893T	65448	0
192	63	1	2016-09-21	08:14:00	SBS1473K	18264	1
193	63	1	2016-09-21	19:39:00	SHA9303J	43434	0
194	74	1	2016-09-21	05:22:00	SHY8438T	20087	0
195	74	1	2016-09-21	06:46:00	SHG4543W	55541	0
196	74	1	2016-09-21	19:34:00	SHV4205K	64041	0
197	74	1	2016-09-21	07:58:00	SHA1212F	63227	0
198	74	1	2016-09-21	11:01:00	SHK8612G	34371	0
199	74	1	2016-09-21	11:48:00	SBS1856D	96874	0
200	74	1	2016-09-21	14:16:00	SHA4288R	47880	0
201	74	1	2016-09-21	14:45:00	SHL1267B	17626	0
202	74	1	2016-09-21	15:33:00	SBS4350E	33211	0
203	74	1	2016-09-21	16:40:00	SBS8944K	36681	0
204	74	1	2016-09-21	21:09:00	SBS9762M	53198	1
205	74	1	2016-09-21	18:31:00	SBS5942N	93165	0
206	74	1	2016-09-21	21:54:00	SHA1245J	6720	0
207	74	1	2016-09-21	00:47:00	SBS3671H	15498	0
208	74	1	2016-09-21	22:53:00	SBS4877X	62747	1
209	74	2	2016-09-21	06:32:00	SHF1277H	66173	0
210	74	2	2016-09-21	08:10:00	SHO1244N	59684	0
211	74	2	2016-09-21	10:19:00	SHL3332S	39893	0
212	74	2	2016-09-21	12:26:00	SHI7722P	64826	0
213	74	2	2016-09-21	11:54:00	SHA5577B	15777	0
214	74	2	2016-09-21	13:12:00	SBS3914J	96309	0
215	74	2	2016-09-21	15:56:00	SBS7218M	66234	0
216	74	2	2016-09-21	16:39:00	SBS8911H	84984	0
217	74	2	2016-09-21	20:28:00	SHF8637M	36948	0
218	74	2	2016-09-21	22:27:00	SBS9089K	45327	1
219	75	1	2016-09-21	07:10:00	SHV8788L	93304	1
220	75	1	2016-09-21	12:22:00	SHK1298B	41798	0
221	75	1	2016-09-21	14:56:00	SBS6068J	68580	0
222	75	1	2016-09-21	01:23:00	SHK8612G	67234	0
223	75	2	2016-09-21	07:55:00	SHE1541L	13761	0
224	76	1	2016-09-21	05:17:00	SBS7184M	81807	0
225	76	1	2016-09-21	18:33:00	SHE1541L	39893	0
226	76	2	2016-09-21	05:37:00	SBS6068J	72258	0
227	186	1	2016-09-21	06:13:00	SHD1234G	23181	0
228	186	1	2016-09-21	12:01:00	SHR4587N	89162	0
229	186	1	2016-09-21	20:15:00	SBS3253R	63827	0
230	186	1	2016-09-21	16:40:00	SBS6157E	47094	0
231	186	2	2016-09-21	00:27:00	SBS9104X	89439	0
232	186	2	2016-09-21	14:14:00	SHM8656F	64041	0
233	186	2	2016-09-21	09:43:00	SHK1245Q	81807	0
234	186	2	2016-09-21	11:13:00	SHF4488N	22667	0
235	186	2	2016-09-21	14:04:00	SHI2052G	66173	0
236	186	2	2016-09-21	14:52:00	SBS6695U	27016	0
237	197	1	2016-09-21	06:29:00	SBS3228F	63427	0
238	197	1	2016-09-21	08:14:00	SBS8237A	37751	0
239	197	1	2016-09-21	13:44:00	SHK1298B	58394	0
240	197	1	2016-09-21	15:30:00	SHG1245S	10654	0
241	197	1	2016-09-21	18:36:00	SHG1234B	3685	0
242	197	1	2016-09-21	21:55:00	SBS7929N	72294	0
243	197	2	2016-09-21	06:39:00	SBS7782B	80672	0
244	96	1	2016-09-21	12:54:00	SBS3063S	65448	0
245	96	1	2016-09-21	17:35:00	SBS5992N	12389	0
246	7	1	2016-09-21	05:27:00	SBS1452Q	32432	0
247	7	1	2016-09-21	08:04:00	SBS1564K	67011	0
248	7	1	2016-09-21	10:02:00	SHL1267B	11789	0
249	7	1	2016-09-21	16:05:00	SBS3293P	30648	0
250	7	1	2016-09-21	15:35:00	SBS6230S	79645	0
251	7	1	2016-09-21	22:16:00	SHF8637M	30648	0
252	7	1	2016-09-21	21:33:00	SBS2416B	69728	0
253	7	1	2016-09-21	08:07:00	SBS6102U	14850	0
254	7	1	2016-09-21	08:27:00	SHM4706J	65448	0
255	7	1	2016-09-21	13:30:00	SBS5942N	69755	0
256	7	1	2016-09-21	15:32:00	SBS4858H	58394	1
257	7	1	2016-09-21	16:30:00	SHG1266B	66941	0
258	7	1	2016-09-21	20:39:00	SHD1234G	27016	1
259	7	1	2016-09-21	00:34:00	SHB1267M	95874	0
260	7	2	2016-09-21	06:29:00	SBS4057N	98874	0
261	7	2	2016-09-21	07:25:00	SHT3660M	34371	0
262	7	2	2016-09-21	08:51:00	SBS9492F	82726	0
263	7	2	2016-09-21	11:16:00	SHJ1256Y	34030	1
264	7	2	2016-09-21	14:32:00	SHM4287J	63127	0
265	7	2	2016-09-21	16:59:00	SBS3628C	34532	0
266	7	2	2016-09-21	15:09:00	SHJ1256Y	51106	0
267	7	2	2016-09-21	16:25:00	SBS9104X	12121	0
268	7	2	2016-09-21	19:40:00	SHB4534A	65964	0
269	7	2	2016-09-21	19:19:00	SBS1473K	63327	0
